record_id,bike_id,trip_date,city,distance_km,battery_used_percent,charge_cycles,status
1,EVB101,2026-05-01,Bengaluru,32.5,18,1,active
2,EVB102,2026-05-01,Bengaluru,28.0,15,1,active
3,EVB103,2026-05-01,Mysuru,25.0,12,1,active
4,EVB104,2026-05-02,Bengaluru,31.0,17,1,active
5,EVB105,2026-05-02,Chennai,18.0,11,1,active
6,EVB106,2026-05-03,Bengaluru,22.0,10,1,active
7,EVB107,2026-05-03,Hyderabad,35.0,20,2,active
8,EVB108,2026-05-04,Bengaluru,27.0,14,1,inactive
9,EVB109,2026-05-04,Mysuru,30.0,16,1,active
10,EVB110,2026-05-05,Chennai,26.0,13,1,active
11,EVB111,2026-05-06,Bengaluru,34.0,19,2,active
12,EVB112,2026-05-06,Hyderabad,29.0,15,1,active
13,EVB113,2026-05-07,Bengaluru,33.0,18,1,active
14,EVB114,2026-05-08,Mysuru,24.0,12,1,active
15,EVB115,2026-05-09,Chennai,20.0,10,1,inactive
16,EVB116,2026-05-10,Bengaluru,36.0,21,2,active
17,EVB117,2026-05-11,Hyderabad,38.0,22,2,active
18,EVB118,2026-05-12,Bengaluru,29.5,15,1,active
19,EVB119,2026-05-13,Mysuru,23.0,11,1,active
20,EVB120,2026-05-14,Chennai,21.5,10,1,active
