bike_id,vehicle_type,battery_capacity_kwh,assigned_region
EVB101,Standard,3.2,South
EVB102,Standard,3.2,South
EVB103,Standard,3.2,South
EVB104,Standard,3.2,South
EVB105,Lite,2.8,South
EVB106,Lite,2.8,South
EVB107,Pro,3.8,South
EVB108,Standard,3.2,South
EVB109,Standard,3.2,South
EVB110,Lite,2.8,South
EVB111,Pro,3.8,South
EVB112,Standard,3.2,South
EVB113,Pro,3.8,South
EVB114,Lite,2.8,South
EVB115,Lite,2.8,South
EVB116,Pro,3.8,South
EVB117,Pro,3.8,South
EVB118,Standard,3.2,South
EVB119,Lite,2.8,South
EVB120,Lite,2.8,South

